年月日,未調整收盤價(元),週報酬率 %,外資買賣超(張),投信買賣超(張),自營買賣超(張),融資增加(張),融資減少(張),融券增加(張),融券減少(張),外資連續累計買賣超(張),投信連續累計買賣超(張),自營連續累計買賣超(張),法人連續累計買賣超(張),外資成交比重,投信成交比重,自營成交比重,法人成交比重,信用交易比重
2011/9/2,67.5,-0.005891,-18857,566,-254,3381,0,0,480,-18857,1499,-4313,-18545,60.88,1.48,3.43,65.79,3.66
2011/9/9,69.3,0.026667,13837,1000,185,0,1304,392,0,25918,11969,185,36486,58.55,1.31,3.39,63.25,2.42
2011/9/16,71.1,0.025975,41631,-1338,64,0,1966,949,0,55491,-1338,6913,60819,49.31,4.31,2.26,55.88,1.34
2011/9/23,67.5,-0.050633,-24091,4092,4000,2404,0,35,0,-50452,5457,5845,-40820,62.85,2.36,4.09,69.29,4.02
2011/9/30,70,0.037038,4240,869,-829,711,0,0,389,55988,869,-3172,57407,73.68,1.55,1.55,76.77,2.83
2011/10/7,69.1,-0.012857,3647,-2104,-353,214,0,0,204,3647,-2104,-353,1190,80.99,2.74,1.59,85.32,0.69
2011/10/14,70.3,0.017367,21681,-1084,-322,0,682,160,0,74097,-12313,-2208,59576,61.96,1.54,0.78,64.28,0.76
2011/10/21,70.3,0,5418,-960,1711,0,101,0,321,5418,-960,3818,6169,57.14,2.86,5.62,65.62,1.22
2011/10/28,73.1,0.03983,49577,45,108,0,1112,469,0,73455,45,3357,76879,58.22,2,0.41,60.64,1.53
2011/11/4,74.6,0.020519,32655,581,1130,0,507,349,0,32655,2321,3667,34366,55.6,1.45,1.68,58.73,1.24
2011/11/11,73.4,-0.016086,-720,2551,397,0,201,3,0,-5913,2612,1879,2228,65.2,5.81,0.91,71.93,2.65
2011/11/18,74.2,0.0109,-4215,2238,1668,389,0,0,338,-4215,6415,1771,-309,78.36,1.98,2.19,82.53,0.55
2011/11/25,71.6,-0.03504,-8403,329,854,92,0,0,477,-17784,15701,12737,-7648,63.5,1.37,2.51,67.38,1.87
2011/12/2,76,0.061453,15563,-1899,188,300,0,0,249,95664,-1899,1400,99999,63.46,3,1.06,67.52,1.27
2011/12/9,74.1,-0.025001,-5581,-295,291,1508,0,0,316,-5581,-295,291,-5585,57.48,1.87,1.67,61.02,2.53
2011/12/16,72.7,-0.018893,311,50,914,0,288,174,0,311,1570,1721,1275,68.76,0.97,4.72,74.45,1.39
2011/12/23,75.4,0.037139,2287,-1496,-85,7,0,0,45,2287,-1496,-85,706,72.84,3.07,0.43,76.34,1.52
2011/12/30,75.8,0.005305,8737,-131,-241,0,265,123,0,39113,-131,-241,37078,44.44,0.23,1.68,46.35,1.59
2012/1/6,75.6,-0.002638,-4870,-2651,295,874,0,0,195,-4870,-5133,1248,-7226,47.74,4.49,1.29,53.51,1.28
2012/1/13,77.5,0.025133,31955,-1377,191,0,287,21,0,100037,-16328,473,91700,45.19,1.5,0.53,47.22,0.14
2012/1/18,76.7,-0.010323,23659,-7346,345,0,1243,162,0,31383,-35675,935,16926,65.46,6.42,1.48,73.36,0.32
2012/2/4,76.5,-0.002606,-3710,-1761,-2390,871,0,0,75,-24124,-57369,-7295,-32069,22.28,5.65,9.89,37.82,2.25
2012/2/10,76.9,0.005229,12488,-2262,-3149,0,278,0,203,49798,-68637,-5157,8444,62.92,2.39,3.56,68.87,0.35
2012/2/17,80,0.040312,30843,515,200,203,0,0,16,145003,515,200,93091,52.57,0.33,1.63,54.53,0.67
2012/2/24,79.1,-0.01125,1247,-1593,-2060,0,895,120,0,1247,-6348,-2144,-18734,67.07,2.81,3.43,73.31,1.67
2012/3/3,79.3,0.002529,-175,-1128,-645,78,0,0,209,-5010,-11222,-820,-9192,7.87,7.68,6.85,22.39,0.61
2012/3/9,80,0.008828,2527,1124,-642,19,0,0,111,13291,3770,-8739,13174,62.41,2.48,2.02,66.91,1.97
2012/3/16,81.1,0.01375,2678,-384,-1405,317,0,0,133,104333,-384,-2004,101131,59.19,2.83,2.77,64.79,0.21
2012/3/23,85.4,0.053021,17345,-65,97,0,199,0,26,191389,-65,178,194026,59.58,0.11,0.43,60.12,0.51
2012/3/30,84.9,-0.005855,-7125,1346,701,0,423,0,221,-9820,1898,701,-8174,76.88,1.85,1.27,80,0.82
2012/4/6,83.8,-0.012956,-14247,175,-241,203,0,0,1640,-24363,5865,-241,-21744,66.2,0.63,1.75,68.58,0.04
2012/4/13,84.9,0.013126,14212,2220,-1312,42,0,1131,0,14212,16595,-1312,15120,60.06,2.81,1.95,64.83,1.24
2012/4/20,84.3,-0.007067,-344,3124,-112,0,441,0,113,-344,29517,-112,18240,63.92,5.35,1.07,70.34,2.28
2012/4/27,86,0.020167,35233,3054,-168,1128,0,1160,0,35233,36091,-424,38119,62.79,1.83,1.89,66.52,3.63
2012/5/4,87.6,0.018604,-11618,-156,685,654,0,0,584,-11618,-217,685,-11089,75.05,0.51,1.46,77.02,1.33
2012/5/11,85.5,-0.023972,-9091,941,1453,0,11,0,11,-9091,4241,1453,-6697,61.54,1.99,3.15,66.69,3.25
2012/5/18,81.8,-0.043275,-31691,168,2245,1481,0,0,416,-31691,168,2245,-29278,59.84,0.91,2.35,63.1,2.22
2012/5/25,80,-0.022005,-9446,668,354,0,210,140,0,-106081,668,3507,-105607,57.98,1.21,1.91,61.11,1.67
2012/6/1,79.9,-0.00125,-25495,-1210,1158,3349,0,0,2178,-25495,-9322,1158,-25547,55.94,1.01,1.71,58.66,6.9
2012/6/8,77.9,-0.025032,-15901,221,206,1526,0,108,0,-15901,221,206,-15474,64.04,1.22,1.26,66.53,3.45
2012/6/15,78.1,0.002567,-15279,-2612,1139,1297,0,0,638,-22036,-2612,1783,-28764,85.57,1.5,0.77,87.84,0.51
2012/6/22,80.1,0.025609,-2520,232,811,177,0,0,254,-9634,232,2067,-8445,74.99,0.67,3.3,78.97,1.11
2012/6/29,81.3,0.014981,3454,-227,3762,0,1509,0,11,8333,-283,11813,12937,68.57,0.27,4.91,73.75,0.01
2012/7/6,80.9,0.031837,10046,-657,287,611,0,0,1,40782,-1116,287,18712,65.72,1.29,1.08,68.09,1.26
2012/7/13,75.8,-0.063041,-18946,-450,1704,1070,0,0,41,-110541,-4826,5903,-108635,59.58,0.47,2.99,63.03,5.15
2012/7/20,76.7,0.011872,-10103,65,-735,773,0,0,616,-10103,2540,-4765,-10773,71.54,0.68,1.22,73.43,2.86
2012/7/27,79.3,0.033897,41292,1097,-1560,0,4021,1346,0,56747,3542,-2681,57202,56.12,0.78,1.5,58.39,3.3
2012/8/3,79.8,0.006304,7221,-264,-167,0,703,167,0,7221,-930,-167,6790,81.33,0.28,0.88,82.49,0.92
2012/8/10,82,0.027567,5232,-302,1325,159,0,0,346,89626,-302,1346,89152,64.54,1.59,2.99,69.12,1.17
2012/8/17,82,0.000001,-1658,-789,875,96,0,0,404,-1658,-2184,922,-1571,79.42,1.35,2.89,83.66,0.81
2012/8/24,82,0,-3162,607,-432,357,0,0,309,-3162,607,-454,-2987,79,1.35,3.09,83.45,0.13
2012/8/31,83.3,0.015854,2918,1339,-421,0,672,25,0,28636,2603,-2372,25924,66.58,5.82,1.98,74.37,1.21
2012/9/7,83.8,0.006002,29101,51,-1043,0,3382,1121,0,29101,51,-1043,28109,46.65,0.07,2.43,49.15,2.24
2012/9/14,86.5,0.032219,25410,1492,1467,0,374,0,294,93447,1492,1467,93450,43.74,1.47,1.75,46.96,1.3
2012/9/21,85.7,-0.009249,16819,-659,-285,623,0,0,0,136352,-659,-285,135146,65.92,1.5,1.55,68.97,1.1
2012/9/28,89.8,0.047841,27188,1040,-420,0,195,834,0,220576,2494,-2678,219183,64.4,1.1,0.98,66.48,1.78
2012/10/5,91,0.013363,13152,-222,-869,27,0,0,99,273908,-708,-869,267581,70.89,0.36,1.59,72.84,0.42
2012/10/12,86.3,-0.051649,5416,-72,-1169,0,699,115,0,5416,-72,-1169,4175,65.29,2.53,3.83,71.65,0.68
2012/10/19,86.7,0.004635,623,319,-53,591,0,0,240,8474,319,-506,7618,67.07,2.45,2.32,71.84,1.79
2012/10/26,87.3,0.00692,19305,1249,-1021,0,1769,1092,0,19305,1315,-1021,19533,56.33,2.09,2.21,60.62,3.16
2012/11/2,89.9,0.029784,12653,910,-1213,0,632,85,0,51522,8549,-1213,58739,69.9,1.37,2.36,73.63,0.3
2012/11/9,90.8,0.01001,6972,-11,-2,0,40,0,128,6972,-11,-486,87937,77.57,0.05,2.08,79.7,0.45
2012/11/16,90.2,-0.006608,-519,187,567,0,143,0,81,-11375,3812,1120,1275,85.75,0.28,2.31,88.34,0.47
2012/11/23,95.5,0.058758,20956,-536,479,2695,0,4,0,24518,-536,1771,34070,45.49,3.16,1.56,50.21,1.59
2012/11/30,98.7,0.033508,7348,238,-354,0,1634,339,0,18006,238,-778,17435,71.46,0.4,2.08,73.94,2.64
2012/12/7,98.1,-0.006078,8084,-23,-1176,0,1536,988,0,11606,-489,-2210,9257,54.01,0.36,2.61,56.97,3.55
2012/12/14,98.4,0.003057,2783,188,63,0,549,0,26,17090,1064,1978,19464,70.67,0.4,1.45,72.52,1.97
2012/12/22,95.7,-0.027439,1152,663,-387,0,684,93,0,1152,813,-387,1428,7.1,4.56,7.95,19.61,2.15
2012/12/28,97,0.013583,9378,-206,-1397,0,456,0,60,29993,-206,-1397,29956,52.55,3.21,5.94,61.7,1.17
2013/1/4,101.5,0.046391,9245,44,-246,0,861,8,0,68052,2053,-3060,68405,73.31,0.54,2.62,76.46,0.95
2013/1/11,101,-0.004926,8196,-250,-69,0,320,124,0,18408,-1523,-69,18903,64.08,0.99,1.29,66.35,0.79
2013/1/18,101.5,0.004951,21850,-743,-312,0,1024,564,0,24010,-743,-1007,21981,62.38,2.21,5.48,70.07,3.16
2013/1/25,99,-0.02463,-11212,-1238,437,1170,0,0,271,-22798,-1540,437,-24696,72.69,1.3,1.68,75.67,1.95
2013/2/1,101.5,0.025252,4050,-327,-83,0,341,33,0,24647,-327,-6092,3640,86.56,0.7,0.88,88.14,0.32
2013/2/6,105,0.034482,15487,-317,-3293,0,297,36,0,58727,-3206,-9595,31338,61.15,0.83,6.42,68.4,0.38
2013/2/23,107,0.019048,4136,-669,-592,0,407,0,9,4136,-6297,-592,2875,20.58,4.29,8.01,32.88,1.29
2013/3/1,105,-0.018692,-3130,-1408,-191,0,135,0,32,-42701,-2300,-191,-43233,73.37,2.01,3.46,78.84,2.59
2013/3/8,103.5,-0.014285,8710,-3118,-1613,528,0,39,0,17028,-10501,-4266,3979,68.95,4.13,3.42,76.51,0.99
2013/3/15,103,-0.004831,-7113,4816,-1895,0,684,0,47,-10494,4816,-11199,-9923,69.87,7.09,4.24,81.19,0.5
2013/3/22,98,-0.048543,-22766,-1746,-66,1931,0,0,403,-146884,-4490,-66,-148449,52.79,2.41,3.09,58.29,1.47
2013/3/29,100.5,0.025511,468,-361,-89,0,829,0,461,468,-7866,-2826,18,69.69,1.19,2.4,73.28,1.13
2013/4/3,100.5,0,-2785,-223,-877,0,64,0,2165,-9325,-8714,-4530,-10756,81.27,1.15,1.8,84.21,0.05
2013/4/12,100.5,0,259,66,-961,232,0,92,0,3179,66,-961,-636,76.71,0.17,4.06,80.93,1.16
2013/4/19,106.5,0.059701,17018,3994,684,1027,0,1491,0,17018,3994,1856,21696,39.28,3.58,3.94,46.8,3.67
2013/4/26,108.5,0.01878,18339,-354,-2391,0,1381,385,0,25744,-354,-3120,23068,60.82,1.59,7.05,69.46,0.59
2013/5/3,110,0.013825,6251,-81,-3059,223,0,256,0,68785,-81,-4584,61067,71.58,0.68,6.69,78.95,1.96
2013/5/10,114.5,0.040909,11488,-999,-15,22,0,0,8,124453,-999,-15,113516,66.01,1.81,2.14,69.97,0.55
2013/5/17,113.5,-0.008733,4104,-534,206,50,0,0,220,4104,-4460,3570,3776,62.21,1.38,6.3,69.89,1.64
2013/5/24,109.5,-0.035242,-4067,-114,-611,0,557,424,0,-25356,-6994,-1422,-27362,45.45,0.22,8.37,54.04,1.42
2013/5/31,109.5,0.000001,-4596,-52,-681,259,0,0,161,-11015,-168,-1619,-12294,84.25,0.09,2.41,86.75,0.32
2013/6/7,108.5,-0.009134,-3232,-601,-731,0,418,182,0,-11822,-1883,-731,-12173,66.98,1.79,4.43,73.2,1.07
2013/6/14,106,-0.023041,2964,593,-3849,0,98,0,37,2964,1444,-3849,-51349,74.87,0.72,6.2,81.78,2.16
2013/6/21,103.5,-0.023586,-6494,471,-590,143,0,0,153,-38120,471,-590,-86273,62.14,2.15,4.97,69.27,2.61
2013/6/28,111,0.072463,8264,-497,-2427,0,3365,0,29,8264,-497,-3973,5340,61.81,0.63,3.19,65.62,0.02
2013/7/5,109,0.009511,9624,271,275,0,919,643,0,17182,271,275,13574,61.96,0.69,3.01,65.67,1.59
2013/7/12,110,0.009175,15118,-1042,-1475,0,373,308,0,38012,-1042,-3253,34062,66.83,2.63,2.51,71.97,0.58
2013/7/19,98.2,-0.107272,-50672,-3748,703,4448,0,1328,0,-53819,-9342,1874,-56621,56.72,2.06,2.09,60.87,2.81
2013/7/26,102.5,0.043788,-4535,-384,-121,0,250,0,143,-4535,-384,-991,-5040,75.04,0.6,1.85,77.49,0.92
2013/8/2,100.5,-0.019512,2592,-828,-54,136,0,186,0,2592,-1660,-493,1710,78.26,1.72,2.24,82.22,1.07
2013/8/9,96.4,-0.040796,-14428,-1336,642,1759,0,243,0,-92248,-7062,851,-97000,64.28,1.58,1.66,67.52,4.09
2013/8/16,96.5,0.001038,-3139,-316,717,0,161,98,0,-147427,-10965,717,-154894,64.22,0.83,2.83,67.88,4.28
2013/8/23,97,0.005181,-2460,1354,767,0,1664,153,0,-195988,1354,767,-207123,57.52,1.65,2.15,61.32,2.17
2013/8/30,100.5,0.036082,18682,25,-1310,0,3777,16,0,40816,2802,-4155,39082,61.54,1.71,2.38,65.64,0.93
2013/9/6,102,0.014925,5892,17,-156,0,767,65,0,5892,17,-156,5753,75.23,1.49,1.03,77.75,1.12
2013/9/14,102.5,0.004902,3351,-54,-398,0,143,69,0,64104,-1036,-1289,61706,37.85,1.59,4.92,44.36,1.63
2013/9/18,103,0.004877,-251,-1800,801,459,0,0,525,-251,-3364,801,-1250,79.54,2.8,2.15,84.49,0.39
2013/9/27,103,0,6411,30,-122,0,138,53,0,30575,30,-3012,25643,75.11,0.13,0.69,75.93,1.51
2013/10/4,104,0.009707,-3589,63,713,665,0,0,485,-3589,192,988,-2813,77.27,0.2,1.78,79.24,0.75
2013/10/11,106.5,0.024039,7841,233,123,108,0,676,0,15714,694,123,15336,73.98,0.95,1.04,75.97,1.52
2013/10/18,110,0.032863,39160,261,-641,0,2651,782,0,82547,3693,-641,86395,53.35,0.3,1.43,55.08,2.89
2013/10/25,107,-0.027273,-5333,-1065,246,1779,0,0,617,-5333,-2368,648,-6152,59.26,2.03,2.55,63.85,1.24
2013/11/1,109.5,0.023364,4358,-303,-475,0,792,55,0,23766,-303,-579,22247,64.44,1.85,4.2,70.5,1.44
2013/11/8,106,-0.031964,-9056,207,310,328,0,0,354,-9680,207,1868,-9028,64.19,1.89,1.33,67.41,1.35
2013/11/15,104,-0.018868,-10747,203,534,441,0,0,199,-56804,203,4577,-53482,63.38,0.51,1.66,65.54,0.56
2013/11/22,100,-0.038462,-28643,107,131,1364,0,0,23,-158770,139,14204,-144849,68.05,0.32,0.91,69.27,1.06
2013/11/29,105,0.05,8513,-77,748,129,0,0,24,25460,-77,1280,26032,63.65,0.23,1.41,65.29,0.48
2013/12/6,103,-0.019048,-4738,-390,192,90,0,0,104,-15333,-492,192,-15995,69.1,0.92,1.16,71.19,1.97
2013/12/13,102.5,-0.004855,-15120,794,359,1127,0,0,136,-22445,1244,847,-20426,55.43,1.48,1.33,58.25,0.87
2013/12/20,102,-0.004879,-11696,-187,626,0,240,21,0,-53154,-381,626,-52025,62.3,0.83,1.63,64.75,2.06
2013/12/27,104.5,0.024511,-3987,-289,301,352,0,9,0,-70046,-623,301,-68267,53.6,0.81,2.59,57,0.24
2013/12/31,105.5,0.024272,3853,155,228,0,170,0,15,12557,155,538,12521,49.76,2.08,3.64,55.48,0.92
2014/1/3,102.5,-0.019139,-24222,-811,1032,3170,0,0,316,-29007,-1795,2495,-28845,49.71,1.03,2.64,53.38,1.47
2014/1/10,102,-0.004878,-19017,1539,718,161,0,0,504,-50940,2401,718,-48343,55.26,2.24,3.27,60.77,0.79
2014/1/17,107.5,0.053922,26004,433,-7593,0,4580,341,0,44114,8171,-7593,45452,61.76,0.59,7.88,70.22,0.7
2014/1/24,108,0.004652,2376,142,-66,0,521,169,0,67199,142,-826,66754,76.72,0.23,1.22,78.17,1.3
2014/1/27,105,-0.027778,-28992,985,1233,1868,0,0,931,-28992,1127,1233,-26774,68.05,1.05,1.99,71.09,0.53
2014/2/7,104,-0.009524,-12622,359,-1535,0,2567,318,0,-160152,359,-1925,-158524,49.07,0.34,2.63,52.04,0.36
